x	y	class	name	color
55.76102088167053	88.06960556844547		1	851968
11.355329949238579	99.29568527918782		1	851968
102.3557833089312	151.8345534407028		1	851968
156.66666666666666	161.1925925925926		3	1179648
63.593023255813954	166.90697674418604		3	1179648
127.20833333333333	177.92222222222222		3	1179648
108.20481927710844	184.13654618473896		3	1179648
149.47260273972603	185.58219178082192		3	1179648
157.98804780876495	206.10358565737053		3	1179648
159.4638888888889	224.01111111111112		3	1179648
162.6776649746193	354.49111675126903		1	851968
84.7526690391459	364.211743772242		1	851968
142.81105169340464	394.0267379679144		1	851968
171.57714285714286	399.0571428571429		1	851968
188.52238805970148	402.85074626865674		1	851968
427.6140583554377	427.5132625994695		3	1179648
144.56299212598424	431.2165354330709		1	851968
323.48333333333335	449.34166666666664		3	1179648
