x	y	class	name	color
648.379679144385	2.8128342245989306		3	1179648
692.5928338762214	16.527687296416936		1	851968
690.7811023622047	52.97795275590551		1	851968
504.513698630137	80.20376712328768		3	1179648
522.5401301518439	106.88937093275487		1	851968
570.0350877192982	137.6140350877193		4	1376256
524.54	144.08		1	851968
503.5548902195609	165.0688622754491		1	851968
541.8447204968944	161.4472049689441		1	851968
483.00199203187253	171.96812749003985		1	851968
691.0958904109589	180.75342465753425		1	851968
671.7242268041238	196.33376288659792		1	851968
633.9432485322897	223.75342465753425		1	851968
682.9096234309624	244.5765690376569		1	851968
657.2739130434783	276.00652173913045		1	851968
648.5870445344129	294.57085020242914		1	851968
686.3009575923393	307.2202462380301		1	851968
573.8232642019838	313.7439134355275		1	851968
507.875	337.82894736842104		1	851968
648.7578947368421	346.2263157894737		1	851968
674.380081300813	359.2764227642276		1	851968
